row_idx,total_graders,num_available_graders,num_graders,spu_GED2_all,spu_E_IoU_SY_all,spu_E_IoU_SS_all,spu_E_IoU_YY_all,hpu_GED2_all,hpu_E_IoU_SY_all,hpu_E_IoU_SS_all,hpu_E_IoU_YY_all,spu_IoUrec_all,hpu_IoUrec_all,spu_Hungarian_all,hpu_Hungarian_all,num_nonempty_graders,spu_GED2_nonempty,spu_E_IoU_SY_nonempty,spu_E_IoU_SS_nonempty,spu_E_IoU_YY_nonempty,hpu_GED2_nonempty,hpu_E_IoU_SY_nonempty,hpu_E_IoU_SS_nonempty,hpu_E_IoU_YY_nonempty,spu_IoUrec_nonempty,hpu_IoUrec_nonempty,spu_Hungarian_nonempty,hpu_Hungarian_nonempty
1238,4,1,4,0.04598017621145378,0.6020099118942731,0.625,0.625,0.0032051282051281937,0.6233974358974359,0.625,0.625,0.9080396475770925,0.9935897435897436,0.42025866894405367,0.45047137649804636,1,0.7356828193832599,0.6321585903083701,1.0,1.0,0.05128205128205132,0.9743589743589743,1.0,1.0,0.6321585903083701,0.9743589743589743,0.14649210292771903,0.2331672897735074
1239,4,1,4,0.037535410764872434,0.6062322946175638,0.625,0.625,0.0024752475247524774,0.6237623762376238,0.625,0.625,0.9249291784702549,0.995049504950495,0.739972779745507,0.8570402298850576,1,0.6005665722379603,0.6997167138810199,1.0,1.0,0.03960396039603964,0.9801980198019802,1.0,1.0,0.6997167138810199,0.9801980198019802,0.09197494424767151,0.10704022988505747
1240,4,1,4,0.037267080745341685,0.6063664596273292,0.625,0.625,0.003975265017667873,0.6230123674911661,0.625,0.625,0.9254658385093167,0.9920494699646643,0.588985854539602,0.7708056662239929,1,0.5962732919254659,0.7018633540372671,1.0,1.0,0.06360424028268552,0.9681978798586572,1.0,1.0,0.7018633540372671,0.9681978798586572,0.09682806249738508,0.13883355467020808
1241,4,1,4,0.023919753086419693,0.6130401234567902,0.625,0.625,0.004310344827586299,0.6228448275862069,0.625,0.625,0.9521604938271605,0.9913793103448276,0.728391812865497,0.797443515258216,1,0.382716049382716,0.808641975308642,1.0,1.0,0.06896551724137923,0.9655172413793104,1.0,1.0,0.808641975308642,0.9655172413793104,0.07400584795321637,0.1612932805164319
1242,4,1,4,0.02054195804195791,0.614729020979021,0.625,0.625,0.0034584980237153395,0.6232707509881423,0.625,0.625,0.958916083916084,0.9930830039525692,0.6153333333333334,0.7638441149079447,1,0.32867132867132876,0.8356643356643356,1.0,1.0,0.05533596837944654,0.9723320158102767,1.0,1.0,0.8356643356643356,0.9723320158102767,0.14,0.09801919908302886
1243,4,1,4,0.044117647058823595,0.6029411764705882,0.625,0.625,0.014175257731958713,0.6179123711340206,0.625,0.625,0.9117647058823529,0.9716494845360825,0.7237654320987654,0.75,1,0.7058823529411764,0.6470588235294118,1.0,1.0,0.2268041237113403,0.8865979381443299,1.0,1.0,0.6470588235294118,0.8865979381443299,0.05709876543209876,0.0
1244,4,2,4,0.12658087908828197,0.39859581017105605,0.45995670995670995,0.4638157894736842,0.027130002203026637,0.45060640714884226,0.46452702702702703,0.4638157894736842,0.8081417012669009,0.9476517839542677,0.5,0.5383064516129032,2,0.5063235163531282,0.5943832406842242,0.8398268398268398,0.8552631578947368,0.10852000881210688,0.802425628595369,0.8581081081081081,0.8552631578947368,0.6162834025338018,0.8953035679085354,0.0,0.038306451612903226
1245,4,2,4,0.12392621011975691,0.40361062871005776,0.46332046332046334,0.46782700421940926,0.01242092105862247,0.46194673905938494,0.4684873949579832,0.46782700421940926,0.8205028913672037,0.9751584101382489,0.5764102564102563,0.5596263178428715,2,0.4957048404790284,0.614442514840231,0.8532818532818534,0.8713080168776371,0.04968368423449043,0.8477869562375397,0.8739495798319328,0.8713080168776371,0.6410057827344072,0.9503168202764978,0.07641025641025641,0.28879749330348986
1246,4,2,4,0.12723107830919944,0.4047904854246148,0.4651015228426396,0.47171052631578947,0.018270334266767052,0.46201421367157003,0.47058823529411764,0.47171052631578947,0.8105495015070717,0.9633960047003526,0.4828284588465217,0.5270758122743683,2,0.5089243132367978,0.6191619416984593,0.8604060913705585,0.8868421052631579,0.07308133706706843,0.84805685468628,0.8823529411764706,0.8868421052631579,0.6210990030141433,0.926792009400705,0.15681508650539702,0.027075812274368227
1247,4,2,4,0.18185603410679063,0.3757283019311521,0.4614583333333333,0.4718543046357616,0.0215682442440307,0.4611570162098515,0.47202797202797203,0.4718543046357616,0.7473021582733813,0.9596253054575075,0.5336021505376344,0.6374164398191858,2,0.727424136427163,0.5029132077246083,0.8458333333333333,0.8874172185430463,0.08627297697612246,0.844628064839406,0.8881118881118881,0.8874172185430463,0.4946043165467626,0.9192506109150149,0.03360215053763441,0.1377935904251694
1248,4,2,4,0.243545720982266,0.34474085258903575,0.4741666666666667,0.4588607594936709,0.015654992771717113,0.4549632729713665,0.4667207792207792,0.4588607594936709,0.6923206671344524,0.9688915534239275,0.5311827956989248,0.5,2,0.9741828839290643,0.37896341035614306,0.8966666666666667,0.8354430379746836,0.06261997108686823,0.8198530918854661,0.8668831168831168,0.8354430379746836,0.38464133426890484,0.937783106847855,0.031182795698924737,0.0
1249,4,1,4,0.0691624365482233,0.5904187817258884,0.625,0.625,0.01090604026845643,0.6195469798657718,0.625,0.625,0.8616751269035533,0.9781879194630873,0.75,0.75,1,1.1065989847715736,0.4467005076142132,1.0,1.0,0.17449664429530198,0.912751677852349,1.0,1.0,0.4467005076142132,0.912751677852349,0.0,0.0
1250,4,1,4,0.125,0.75,1.0,0.625,0.012048192771084265,0.6189759036144579,0.625,0.625,0.75,0.9759036144578314,0.7219308469308471,0.75,1,2.0,0.0,1.0,1.0,0.19277108433734935,0.9036144578313253,1.0,1.0,0.0,0.9036144578313253,0.0638111888111888,0.0
1251,4,1,4,0.125,0.75,1.0,0.625,0.0064102564102563875,0.6217948717948718,0.625,0.625,0.75,0.9871794871794872,0.6697530864197532,0.75,1,2.0,0.0,1.0,1.0,0.10256410256410264,0.9487179487179487,1.0,1.0,0.0,0.9487179487179487,0.003086419753086415,0.0
1252,4,1,4,0.125,0.5625,0.625,0.625,0.005208333333333259,0.6223958333333334,0.625,0.625,0.75,0.9895833333333334,0.75,0.75,1,2.0,0.0,1.0,1.0,0.08333333333333326,0.9583333333333334,1.0,1.0,0.0,0.9583333333333334,0.0,0.0
1253,4,1,4,0.125,0.5625,0.625,0.625,0.017123287671232834,0.6164383561643836,0.625,0.625,0.75,0.9657534246575342,0.75,0.7833333333333333,1,2.0,0.0,1.0,1.0,0.273972602739726,0.863013698630137,1.0,1.0,0.0,0.863013698630137,0.0,0.033333333333333326
1254,4,1,4,0.02954545454545454,0.6102272727272727,0.625,0.625,0.004629629629629761,0.6226851851851851,0.625,0.625,0.9409090909090909,0.9907407407407407,0.801195987654321,0.7564022184711842,1,0.47272727272727266,0.7636363636363637,1.0,1.0,0.07407407407407418,0.9629629629629629,1.0,1.0,0.7636363636363637,0.9629629629629629,0.1638503086419753,0.09556305763202315
1255,4,1,4,0.034330985915492995,0.6078345070422535,0.625,0.625,0.0068359375,0.62158203125,0.625,0.625,0.9313380281690141,0.986328125,0.5655745489078823,0.859704641350211,1,0.5492957746478873,0.7253521126760564,1.0,1.0,0.109375,0.9453125,1.0,1.0,0.7253521126760564,0.9453125,0.08185456518789852,0.10970464135021096
1256,4,1,4,0.03623188405797095,0.6068840579710145,0.625,0.625,0.004844961240310086,0.622577519379845,0.625,0.625,0.927536231884058,0.9903100775193798,0.5444311400753769,0.7653846153846153,1,0.5797101449275361,0.7101449275362319,1.0,1.0,0.07751937984496116,0.9612403100775194,1.0,1.0,0.7101449275362319,0.9612403100775194,0.05159259840871022,0.015384615384615385
1257,4,1,4,0.03389830508474567,0.6080508474576272,0.625,0.625,0.0062893081761006275,0.6218553459119497,0.625,0.625,0.9322033898305084,0.9874213836477987,0.43611900456385083,0.7267899010693658,1,0.5423728813559323,0.7288135593220338,1.0,1.0,0.10062893081761004,0.949685534591195,1.0,1.0,0.7288135593220338,0.949685534591195,0.13067682769310254,0.06634928804254588
